project,subcommand,elapsed_time,critical_path,parallelism,target,commits
google_go-jsonnet,build,118.896,19.35,4,//:all,456.0
google_go-jsonnet,build,116.249,17.67,4,//:all,456.0
google_j2cl,build,664.151,581.57,4,//:all,4784.0
google_j2cl,build,658.164,603.13,4,//:all,4784.0
google_j2cl,build,666.843,538.21,4,//:all,4784.0
google_j2cl,build,665.295,556.48,4,//:all,4784.0
google_j2cl,build,602.912,482.16,4,//:all,4784.0
google_j2cl,build,645.033,473.39,4,//:all,4784.0
google_j2cl,build,657.413,467.14,4,//:all,4784.0
google_j2cl,build,664.067,622.04,4,//:all,4784.0
google_j2cl,build,667.24,538.55,4,//:all,4784.0
google_j2cl,build,658.963,548.91,4,//:all,4784.0
grpc-ecosystem_grpc-gateway,build,148.376,59.65,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,221.186,100.6,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,169.234,70.68,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,149.898,59.46,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,151.724,68.57,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,223.683,129.81,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,145.443,60.28,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,146.866,68.73,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,163.113,70.06,4,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,194.544,102.21,4,//:all,2216.0
grpc_grpc-java,build,456.474,381.59,4,//:all,5704.0
grpc_grpc-java,build,498.927,454.62,4,//:all,5704.0
grpc_grpc-java,build,423.311,381.13,4,//:all,5704.0
grpc_grpc-java,build,511.132,381.01,4,//:all,5704.0
grpc_grpc-java,build,538.988,477.1,4,//:all,5704.0
grpc_grpc-java,build,438.254,380.36,4,//:all,5704.0
grpc_grpc-java,build,493.905,384.0,4,//:all,5704.0
grpc_grpc-java,build,499.092,443.94,4,//:all,5704.0
grpc_grpc-java,build,431.317,374.54,4,//:all,5704.0
grpc_grpc-java,build,510.743,407.68,4,//:all,5704.0
grpc_grpc-proto,build,283.251,234.36,4,//:all,120.0
grpc_grpc-proto,build,303.016,230.51,4,//:all,120.0
grpc_grpc-proto,build,264.908,220.33,4,//:all,120.0
grpc_grpc-proto,build,364.62,313.06,4,//:all,120.0
grpc_grpc-proto,build,256.439,219.22,4,//:all,120.0
grpc_grpc-proto,build,289.859,252.13,4,//:all,120.0
grpc_grpc-proto,build,292.429,223.7,4,//:all,120.0
grpc_grpc-proto,build,263.456,221.9,4,//:all,120.0
grpc_grpc-proto,build,347.152,308.31,4,//:all,120.0
grpc_grpc-proto,build,272.877,229.49,4,//:all,120.0
